철도운영기관명,선명,역명,경도,위도,.,행 레이블,합계 : 7~8 INFLOW,합계 : 8~9 INFLOW,합계 : 9~10 INFLOW,total
서울교통공사,2호선,신림,126.929573,37.484216,,신림,25749515,37236263,22010722,84996500
서울교통공사,2호선,구로디지털단지,126.902626,37.485005,,구로디지털단지,17209508,22468469,14157781,53835758
서울교통공사,2호선,서울대입구(관악구청),126.952745,37.481233,,서울대입구(관악구청),12594583,17792909,11725704,51976612
서울교통공사,2호선,잠실(송파구청),127.100129,37.513305,,잠실(송파구청),11825205,16943874,12260069,51552122
서울교통공사,2호선,신도림,126.891222,37.508815,,신도림,17110167,17887492,11437936,46435595
서울교통공사,2호선,강변(동서울터미널),127.094684,37.535161,,강변(동서울터미널),8205582,12019844,8889353,37108758
서울교통공사,2호선,신대방,126.913279,37.487534,,신대방,11142969,15765595,9889796,36798360
서울교통공사,2호선,낙성대,126.963783,37.47693,,낙성대(강감찬),4368708,6803023,4362625,35456640
서울교통공사,2호선,봉천,126.941896,37.482416,,봉천,9726672,13862651,8365280,31954603
서울교통공사,2호선,사당,126.981631,37.476536,,사당,8778723,12140971,8792488,29712182
서울교통공사,2호선,구의(광진구청),127.085024,37.536857,,구의(광진구청),6623909,11106592,6543947,29553018
서울교통공사,2호선,대림(구로구청),126.895293,37.492426,,대림(구로구청),6848401,9605661,6631613,29314646
서울교통공사,2호선,건대입구,127.069231,37.540408,,건대입구,7046628,12012323,7988707,27047658
서울교통공사,2호선,홍대입구,126.923643,37.556748,,홍대입구,8180529,10246395,7429516,25856440
서울교통공사,2호선,신촌,126.93689,37.555153,,신촌,4625090,6588707,4825545,21281818
서울교통공사,2호선,강남,127.027539,37.497958,,강남,5211336,8307635,7019016,20537987
서울교통공사,2호선,잠실새내,127.103738,37.520731,,잠실새내,5568122,7689894,4809012,18067028
서울교통공사,2호선,당산,126.902011,37.533877,,당산,5985872,7301938,4627830,17915640
서울교통공사,2호선,합정,126.914557,37.550025,,합정,5533715,6913830,4642126,17089671
서울교통공사,2호선,잠실나루,127.103836,37.520688,,잠실나루,5282203,6385475,3967683,15635361
서울교통공사,2호선,상왕십리,127.028872,37.564504,,상왕십리,4386916,6856136,3748272,14991324
서울교통공사,2호선,영등포구청,126.896627,37.525766,,영등포구청,4957436,5630739,3719070,14307245
서울교통공사,2호선,문래,126.894766,37.517993,,문래,5138320,5582916,3267875,13989111
서울교통공사,2호선,신정네거리,126.852849,37.520218,,신정네거리,5628998,5217763,2936154,13782915
서울교통공사,2호선,왕십리,127.035505,37.561159,,왕십리(성동구청),3388338,5733682,3632070,12754090
서울교통공사,2호선,교대(법원·검찰청),127.014631,37.493957,,교대(법원.검찰청),2552574,3718594,3032018,11730452
서울교통공사,2호선,신당,127.019488,37.565681,,신당,3282709,5177450,3199466,11659625
서울교통공사,2호선,선릉,127.048174,37.504257,,선릉,2766706,4203642,4124973,11095321
서울교통공사,2호선,방배,126.997627,37.481469,,방배,3085115,4403229,3422067,10910411
서울교통공사,2호선,아현,126.956079,37.557407,,아현,3172082,4410953,2700232,10283267
서울교통공사,2호선,성수,127.055983,37.544628,,성수,2938178,3888172,3044922,9871272
서울교통공사,2호선,양천구청,126.865193,37.512194,,양천구청,3847591,3528672,2120411,9496674
서울교통공사,2호선,이대,126.945897,37.556734,,이대,2656473,3675984,2480935,8813392
서울교통공사,2호선,뚝섬,127.047413,37.54718,,뚝섬,2653136,3659705,2360856,8673697
서울교통공사,2호선,종합운동장,127.073641,37.511008,,종합운동장,2387946,3328784,2441947,8158677
서울교통공사,2호선,서초,127.007945,37.49191,,서초,1937596,3044762,3171147,8153505
서울교통공사,2호선,역삼,127.03643,37.500658,,역삼,1898419,3139173,2989412,8027004
서울교통공사,2호선,삼성(무역센터),127.063203,37.508827,,삼성(무역센터),1626223,2225252,2276310,7956678
서울교통공사,2호선,충정로(경기대입구),126.964455,37.559742,,충정로(경기대입구),1615888,2261285,1499615,6731237
서울교통공사,2호선,을지로입구,126.982569,37.565998,,을지로입구,1057230,1862104,2480247,5399581
서울교통공사,2호선,동대문역사문화공원,127.009083,37.565609,,동대문역사문화공원,547181,878011,951766,3996315
서울교통공사,2호선,을지로3가,126.991773,37.566292,,을지로3가,651518,1256675,1615556,3523749
서울교통공사,2호선,용답,126.977863,37.566412,,용답,997917,1585494,797773,3381184
서울교통공사,2호선,시청,126.975271,37.563534,,시청,636475,1003867,1350011,2990353
서울교통공사,2호선,한양대,127.043504,37.55658,,한양대,683396,1063938,818875,2566209
서울교통공사,2호선,을지로4가,126.998122,37.566611,,을지로4가,437967,841492,1137661,2417120
서울교통공사,2호선,신답,127.056348,37.56147,,신답,715258,1140781,464575,2320614
서울교통공사,2호선,용두(동대문구청),127.03811,37.574012,,용두(동대문구청),481757,800377,420031,2032646
서울교통공사,2호선,신설동,127.025158,37.574653,,신설동,420880,730434,531127,1682441
서울교통공사,2호선,도림천,126.882586,37.514759,,도림천,348050,371201,235718,954969
.,,,,,,,,,,
